parameter_name,parameter_value,temporal_filters,depth_multiplier,kernel_length,dropout_rate,learning_rate,batch_size,epochs,weight_decay,fold,subject,accuracy,f1_score,roc_auc,train_time_sec,inference_time_sec,inference_ms_per_sample,model_size_mb,num_parameters,train_memory_delta_mb,peak_gpu_memory_mb
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,81,81,0.4888888888888889,0.0,0.7628458498023716,15.614408819000346,0.004151000999627286,0.09224446665838412,0.014316558837890625,1858,0.0078125,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,82,82,0.6888888888888889,0.75,0.8735177865612649,16.083128254999792,0.003015925999989122,0.06702057777753603,0.014316558837890625,1858,0.00390625,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,83,83,0.6578947368421053,0.5185185185185185,0.8808864265927978,18.28737253700001,0.0038013000003047637,0.10003421053433588,0.014316558837890625,1858,0.09765625,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,84,84,0.7045454545454546,0.7111111111111111,0.7494824016563146,19.37763093400008,0.004597781000029499,0.10449502272794317,0.014316558837890625,1858,0.0,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,85,85,0.7954545454545454,0.8235294117647058,0.9855072463768115,18.7376948430001,0.0031929060000948084,0.0725660454567002,0.014316558837890625,1858,0.0078125,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,86,86,0.5681818181818182,0.2962962962962963,0.7204968944099379,19.64161382400016,0.0037536589998126146,0.08531043181392306,0.014316558837890625,1858,0.00390625,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,87,87,0.5333333333333333,0.43243243243243246,0.5454545454545454,19.13623127699975,0.003730121999979019,0.08289159999953376,0.014316558837890625,1858,0.0078125,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,88,88,0.4909090909090909,0.0,0.6455026455026456,19.42231400599985,0.004076328999872203,0.07411507272494915,0.014316558837890625,1858,0.0078125,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,89,89,0.5111111111111111,0.6333333333333333,0.5813492063492064,18.405482055999983,0.0025046740001926082,0.0556594222265024,0.014316558837890625,1858,0.0078125,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,90,90,0.6444444444444445,0.7333333333333333,0.6739130434782609,18.938264106000133,0.0037748220001958543,0.08388493333768565,0.014316558837890625,1858,0.0,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,91,91,0.5227272727272727,0.08695652173913043,0.6549586776859504,15.755577171999903,0.002763999000308104,0.06281815909791144,0.014316558837890625,1858,0.0078125,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,92,92,0.5535714285714286,0.358974358974359,0.7435897435897436,15.699054640999748,0.0028692509999928006,0.05123662499987144,0.014316558837890625,1858,0.0,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,93,93,0.5555555555555556,0.16666666666666666,0.841897233201581,11.585568458000125,0.0023042979996716895,0.05120662221492643,0.014316558837890625,1858,0.00390625,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,94,94,0.8636363636363636,0.8636363636363636,0.9751552795031055,11.713664061000145,0.0022451419999924838,0.051025954545283726,0.014316558837890625,1858,0.0078125,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,95,95,0.5714285714285714,0.625,0.796875,11.880444677000014,0.0014652159998149727,0.05232914285053474,0.014316558837890625,1858,0.00390625,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,96,96,0.7380952380952381,0.7755102040816326,0.7052154195011338,11.753555944999789,0.002137724999556667,0.05089821427515874,0.014316558837890625,1858,0.0,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,97,97,0.5227272727272727,0.08695652173913043,0.5640495867768596,11.706049601999894,0.0022927750001144886,0.05210852272987474,0.014316558837890625,1858,0.0078125,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,98,98,0.5333333333333333,0.6181818181818182,0.5790513833992095,11.861855590000232,0.002291586999945139,0.050924155554336416,0.014316558837890625,1858,0.00390625,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,99,99,0.5116279069767442,0.08695652173913043,0.46536796536796543,11.768192112000179,0.0023852449999139935,0.05547081395148822,0.014316558837890625,1858,0.0,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,100,100,0.5833333333333334,0.6341463414634146,0.5740740740740741,11.754963122999925,0.002183961000355339,0.060665583343203856,0.014316558837890625,1858,0.0859375,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,101,101,0.4666666666666667,0.07692307692307693,0.5573122529644269,11.723593573000016,0.0022491230001833173,0.04998051111518483,0.014316558837890625,1858,0.0,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,102,102,0.5111111111111111,0.6764705882352942,0.7786561264822135,12.155135918999804,0.002281180000409222,0.05069288889798271,0.014316558837890625,1858,0.0,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,103,103,0.6511627906976745,0.7058823529411765,0.7835497835497836,11.8104102960001,0.0023097460002645676,0.05371502326196669,0.014316558837890625,1858,0.00390625,30.56884765625
batch_size,16,8,2,64,0.5,0.001,16,20,0.0,104,104,0.4883720930232558,0.65625,0.6363636363636364,11.803792484000041,0.0022234210000533494,0.05170746511751975,0.014316558837890625,1858,0.00390625,30.56884765625
