parameter_name,parameter_value,criterion,max_depth,min_samples_split,min_samples_leaf,class_weight,csp_components,fold,subject,accuracy,f1_score,roc_auc
criterion,entropy,entropy,5,10,5,balanced,6,66,66,0.5333333333333333,0.6037735849056604,0.5345849802371542
criterion,entropy,entropy,5,10,5,balanced,6,67,67,0.4888888888888889,0.0,0.5227272727272727
criterion,entropy,entropy,5,10,5,balanced,6,68,68,0.5111111111111111,0.08333333333333333,0.5830039525691699
criterion,entropy,entropy,5,10,5,balanced,6,69,69,0.4888888888888889,0.5490196078431373,0.5238095238095237
criterion,entropy,entropy,5,10,5,balanced,6,70,70,0.5333333333333333,0.5882352941176471,0.5227272727272727
criterion,entropy,entropy,5,10,5,balanced,6,71,71,0.7777777777777778,0.8148148148148148,0.7895256916996047
criterion,entropy,entropy,5,10,5,balanced,6,72,72,0.4888888888888889,0.0,0.5
criterion,entropy,entropy,5,10,5,balanced,6,73,73,0.5111111111111111,0.0,0.5
criterion,entropy,entropy,5,10,5,balanced,6,74,74,0.5555555555555556,0.16666666666666666,0.5267857142857143
criterion,entropy,entropy,5,10,5,balanced,6,75,75,0.6829268292682927,0.5806451612903226,0.7047619047619048
criterion,entropy,entropy,5,10,5,balanced,6,76,76,0.5111111111111111,0.0,0.5
criterion,entropy,entropy,5,10,5,balanced,6,77,77,0.5111111111111111,0.56,0.5734126984126985
criterion,entropy,entropy,5,10,5,balanced,6,78,78,0.5333333333333333,0.2222222222222222,0.5247035573122529
criterion,entropy,entropy,5,10,5,balanced,6,79,79,0.675,0.6486486486486487,0.64875
criterion,entropy,entropy,5,10,5,balanced,6,80,80,0.5777777777777777,0.2962962962962963,0.5691699604743083
criterion,entropy,entropy,5,10,5,balanced,6,81,81,0.4888888888888889,0.0,0.5
criterion,entropy,entropy,5,10,5,balanced,6,82,82,0.4888888888888889,0.6349206349206349,0.5652173913043478
criterion,entropy,entropy,5,10,5,balanced,6,83,83,0.5789473684210527,0.2727272727272727,0.5429362880886426
criterion,entropy,entropy,5,10,5,balanced,6,84,84,0.5681818181818182,0.5365853658536586,0.6407867494824017
criterion,entropy,entropy,5,10,5,balanced,6,85,85,0.6363636363636364,0.7142857142857143,0.8333333333333334
criterion,entropy,entropy,5,10,5,balanced,6,86,86,0.5454545454545454,0.2857142857142857,0.5631469979296065
criterion,entropy,entropy,5,10,5,balanced,6,87,87,0.4888888888888889,0.5818181818181818,0.5227272727272727
criterion,entropy,entropy,5,10,5,balanced,6,88,88,0.509090909090909,0.425531914893617,0.5052910052910053
criterion,entropy,entropy,5,10,5,balanced,6,89,89,0.5333333333333333,0.0,0.5
criterion,entropy,entropy,5,10,5,balanced,6,90,90,0.5111111111111111,0.6333333333333333,0.5118577075098814
criterion,entropy,entropy,5,10,5,balanced,6,91,91,0.5227272727272727,0.676923076923077,0.609504132231405
criterion,entropy,entropy,5,10,5,balanced,6,92,92,0.5357142857142857,0.4090909090909091,0.6256410256410256
criterion,entropy,entropy,5,10,5,balanced,6,93,93,0.7555555555555555,0.7027027027027027,0.7519762845849802
criterion,entropy,entropy,5,10,5,balanced,6,94,94,0.8181818181818182,0.8461538461538461,0.860248447204969
criterion,entropy,entropy,5,10,5,balanced,6,95,95,0.5,0.5625,0.5625
criterion,entropy,entropy,5,10,5,balanced,6,96,96,0.5714285714285714,0.6896551724137931,0.5351473922902494
criterion,entropy,entropy,5,10,5,balanced,6,97,97,0.5,0.0,0.48347107438016534
criterion,entropy,entropy,5,10,5,balanced,6,98,98,0.5111111111111111,0.21428571428571427,0.4832015810276679
criterion,entropy,entropy,5,10,5,balanced,6,99,99,0.4883720930232558,0.6071428571428571,0.5454545454545455
criterion,entropy,entropy,5,10,5,balanced,6,100,100,0.5,0.4375,0.5447530864197531
criterion,entropy,entropy,5,10,5,balanced,6,101,101,0.6666666666666666,0.5945945945945946,0.6709486166007905
criterion,entropy,entropy,5,10,5,balanced,6,102,102,0.4888888888888889,0.0,0.5
criterion,entropy,entropy,5,10,5,balanced,6,103,103,0.6046511627906976,0.5142857142857142,0.6212121212121212
criterion,entropy,entropy,5,10,5,balanced,6,104,104,0.5813953488372093,0.5714285714285714,0.5811688311688311
