parameter_name,parameter_value,solver,shrinkage,csp_components,fold,subject,accuracy,f1_score,roc_auc
csp_components,6,lsqr,auto,6,102,102,0.6888888888888889,0.7586206896551724,0.8774703557312253
csp_components,6,lsqr,auto,6,103,103,0.6511627906976745,0.6153846153846154,0.7965367965367964
csp_components,6,lsqr,auto,6,104,104,0.5116279069767442,0.6440677966101694,0.4935064935064935
csp_components,6,lsqr,auto,6,105,105,0.5555555555555556,0.23076923076923078,0.5909090909090909
csp_components,6,lsqr,auto,6,106,106,0.6222222222222222,0.6382978723404256,0.6646825396825397
csp_components,6,lsqr,auto,6,107,107,0.6,0.6666666666666666,0.6468253968253969
csp_components,6,lsqr,auto,6,108,108,0.8666666666666667,0.85,0.8932806324110671
csp_components,8,lsqr,auto,8,1,1,0.7333333333333333,0.7272727272727273,0.8517786561264822
csp_components,8,lsqr,auto,8,2,2,0.7111111111111111,0.5806451612903226,0.8715415019762845
csp_components,8,lsqr,auto,8,3,3,0.4444444444444444,0.46808510638297873,0.43280632411067194
csp_components,8,lsqr,auto,8,4,4,0.4888888888888889,0.6567164179104478,0.8122529644268774
csp_components,8,lsqr,auto,8,5,5,0.4888888888888889,0.6567164179104478,0.3551587301587302
csp_components,8,lsqr,auto,8,6,6,0.5333333333333333,0.0,0.4900793650793651
csp_components,8,lsqr,auto,8,7,7,0.6222222222222222,0.7213114754098361,0.9841897233201581
csp_components,8,lsqr,auto,8,8,8,0.6222222222222222,0.6046511627906976,0.6561264822134387
csp_components,8,lsqr,auto,8,9,9,0.6,0.5909090909090909,0.5376984126984127
csp_components,8,lsqr,auto,8,10,10,0.6666666666666666,0.6808510638297872,0.6964285714285715
csp_components,8,lsqr,auto,8,11,11,0.5111111111111111,0.6666666666666666,0.4288537549407115
csp_components,8,lsqr,auto,8,12,12,0.6222222222222222,0.5405405405405406,0.7261904761904762
csp_components,8,lsqr,auto,8,13,13,0.8571428571428571,0.8571428571428571,0.8954248366013072
csp_components,8,lsqr,auto,8,14,14,0.6666666666666666,0.7457627118644068,0.7984189723320159
csp_components,8,lsqr,auto,8,15,15,0.5777777777777777,0.6984126984126984,0.9446640316205535
csp_components,8,lsqr,auto,8,16,16,0.5333333333333333,0.6865671641791045,0.7391304347826088
csp_components,8,lsqr,auto,8,17,17,0.5238095238095238,0.0,0.5772727272727273
csp_components,8,lsqr,auto,8,18,18,0.5111111111111111,0.6764705882352942,0.3952569169960474
csp_components,8,lsqr,auto,8,19,19,0.7111111111111111,0.7719298245614035,0.8339920948616601
csp_components,8,lsqr,auto,8,20,20,0.5333333333333333,0.46153846153846156,0.5731225296442688
csp_components,8,lsqr,auto,8,21,21,0.5555555555555556,0.6296296296296297,0.7321428571428571
csp_components,8,lsqr,auto,8,22,22,0.5111111111111111,0.6764705882352942,0.7351778656126482
csp_components,8,lsqr,auto,8,23,23,0.6590909090909091,0.7368421052631579,0.853305785123967
csp_components,8,lsqr,auto,8,24,24,0.6111111111111112,0.6666666666666666,0.7402597402597403
csp_components,8,lsqr,auto,8,25,25,0.7111111111111111,0.7346938775510204,0.782608695652174
csp_components,8,lsqr,auto,8,26,26,0.6222222222222222,0.711864406779661,0.7996031746031746
csp_components,8,lsqr,auto,8,27,27,0.4666666666666667,0.6363636363636364,0.5810276679841897
csp_components,8,lsqr,auto,8,28,28,0.4888888888888889,0.43902439024390244,0.5237154150197629
csp_components,8,lsqr,auto,8,29,29,0.8222222222222222,0.8461538461538461,0.9960474308300395
csp_components,8,lsqr,auto,8,30,30,0.6666666666666666,0.5161290322580645,0.6805555555555556
csp_components,8,lsqr,auto,8,31,31,0.8666666666666667,0.875,0.9584980237154149
csp_components,8,lsqr,auto,8,32,32,0.7954545454545454,0.8363636363636363,0.9420289855072463
csp_components,8,lsqr,auto,8,33,33,0.7111111111111111,0.6486486486486487,0.849802371541502
csp_components,8,lsqr,auto,8,34,34,0.8666666666666667,0.8888888888888888,0.9761904761904762
csp_components,8,lsqr,auto,8,35,35,0.6444444444444445,0.5,0.8379446640316206
csp_components,8,lsqr,auto,8,36,36,0.3409090909090909,0.3829787234042553,0.40289256198347106
csp_components,8,lsqr,auto,8,37,37,0.5111111111111111,0.0,0.5671936758893281
csp_components,8,lsqr,auto,8,38,38,0.5555555555555556,0.5,0.5869565217391305
csp_components,8,lsqr,auto,8,39,39,0.5227272727272727,0.43243243243243246,0.5238095238095238
csp_components,8,lsqr,auto,8,40,40,0.4888888888888889,0.5106382978723404,0.5218253968253969
csp_components,8,lsqr,auto,8,41,41,0.6444444444444445,0.6363636363636364,0.7757936507936508
csp_components,8,lsqr,auto,8,42,42,0.8666666666666667,0.875,0.9762845849802372
csp_components,8,lsqr,auto,8,43,43,0.7777777777777778,0.7222222222222222,0.924901185770751
csp_components,8,lsqr,auto,8,44,44,0.6206896551724138,0.5217391304347826,0.8238095238095239
csp_components,8,lsqr,auto,8,45,45,0.5555555555555556,0.2857142857142857,0.8142292490118577
csp_components,8,lsqr,auto,8,46,46,0.6444444444444445,0.6521739130434783,0.7233201581027667
csp_components,8,lsqr,auto,8,47,47,0.4888888888888889,0.6461538461538462,0.6091269841269842
csp_components,8,lsqr,auto,8,48,48,0.7647058823529411,0.75,0.9714285714285714
csp_components,8,lsqr,auto,8,49,49,0.8444444444444444,0.8444444444444444,0.958498023715415
csp_components,8,lsqr,auto,8,50,50,0.5333333333333333,0.2222222222222222,0.6343873517786561
csp_components,8,lsqr,auto,8,51,51,0.5777777777777777,0.17391304347826086,0.5396825396825397
csp_components,8,lsqr,auto,8,52,52,0.7317073170731707,0.6206896551724138,0.8181818181818182
csp_components,8,lsqr,auto,8,53,53,0.5581395348837209,0.5128205128205128,0.5865800865800865
csp_components,8,lsqr,auto,8,54,54,0.5641025641025641,0.6382978723404256,0.779891304347826
csp_components,8,lsqr,auto,8,55,55,0.8666666666666667,0.8695652173913043,0.9268774703557313
csp_components,8,lsqr,auto,8,56,56,0.8409090909090909,0.851063829787234,0.921487603305785
csp_components,8,lsqr,auto,8,57,57,0.6,0.6538461538461539,0.7103174603174603
csp_components,8,lsqr,auto,8,58,58,0.5777777777777777,0.3870967741935484,0.6607142857142857
csp_components,8,lsqr,auto,8,59,59,0.5333333333333333,0.0,0.46031746031746035
csp_components,8,lsqr,auto,8,60,60,0.8409090909090909,0.8205128205128205,0.9028925619834711
csp_components,8,lsqr,auto,8,61,61,0.7209302325581395,0.7,0.8354978354978356
csp_components,8,lsqr,auto,8,62,62,0.9555555555555556,0.9523809523809523,0.9861660079051384
csp_components,8,lsqr,auto,8,63,63,0.4883720930232558,0.0,0.5952380952380952
csp_components,8,lsqr,auto,8,64,64,0.5111111111111111,0.6666666666666666,0.7747035573122529
csp_components,8,lsqr,auto,8,65,65,0.6888888888888889,0.7407407407407407,0.7876984126984127
csp_components,8,lsqr,auto,8,66,66,0.5111111111111111,0.6333333333333333,0.5
csp_components,8,lsqr,auto,8,67,67,0.4888888888888889,0.08,0.616600790513834
csp_components,8,lsqr,auto,8,68,68,0.5555555555555556,0.23076923076923078,0.7509881422924901
csp_components,8,lsqr,auto,8,69,69,0.6,0.5,0.6567460317460317
csp_components,8,lsqr,auto,8,70,70,0.7333333333333333,0.7,0.8498023715415021
csp_components,8,lsqr,auto,8,71,71,0.7555555555555555,0.6857142857142857,0.9347826086956522
