trial_number,penalty,C,solver,class_weight,l1_ratio,csp_components,fold,subject,accuracy,f1_score,roc_auc,support
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,94,94,0.9772727272727273,0.9787234042553191,1.0,44
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,95,95,0.39285714285714285,0.5405405405405406,0.5989583333333333,28
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,96,96,0.4523809523809524,0.6229508196721312,0.5419501133786848,42
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,97,97,0.5,0.0,0.6198347107438016,44
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,98,98,0.4888888888888889,0.5964912280701754,0.5335968379446641,45
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,99,99,0.46511627906976744,0.41025641025641024,0.5606060606060607,43
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,100,100,0.5277777777777778,0.5641025641025641,0.5709876543209877,36
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,101,101,0.4888888888888889,0.0,0.6284584980237153,45
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,102,102,0.7333333333333333,0.7857142857142857,0.8814229249011858,45
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,103,103,0.6511627906976745,0.6153846153846154,0.7965367965367965,43
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,104,104,0.5116279069767442,0.6440677966101694,0.48484848484848486,43
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,105,105,0.5333333333333333,0.16,0.5889328063241107,45
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,106,106,0.6222222222222222,0.6530612244897959,0.6646825396825397,45
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,107,107,0.5777777777777777,0.6545454545454545,0.6448412698412699,45
8,elasticnet,2.1386921469346167,saga,balanced,0.8,6,108,108,0.8666666666666667,0.85,0.8952569169960474,45
