trial_number,n_neighbors,weights,metric,p,csp_components,fold,subject,accuracy,f1_score,roc_auc,support
1,11,uniform,minkowski,1,6,60,60,0.8409090909090909,0.8292682926829268,0.9090909090909091,44
1,11,uniform,minkowski,1,6,61,61,0.6511627906976745,0.5161290322580645,0.724025974025974,43
1,11,uniform,minkowski,1,6,62,62,0.7777777777777778,0.7368421052631579,0.8527667984189724,45
1,11,uniform,minkowski,1,6,63,63,0.5116279069767442,0.16,0.5638528138528139,43
1,11,uniform,minkowski,1,6,64,64,0.5777777777777777,0.6122448979591837,0.6640316205533597,45
1,11,uniform,minkowski,1,6,65,65,0.5111111111111111,0.45,0.4930555555555556,45
1,11,uniform,minkowski,1,6,66,66,0.5555555555555556,0.5454545454545454,0.5118577075098814,45
1,11,uniform,minkowski,1,6,67,67,0.5555555555555556,0.23076923076923078,0.5800395256916996,45
1,11,uniform,minkowski,1,6,68,68,0.4444444444444444,0.07407407407407407,0.5276679841897233,45
1,11,uniform,minkowski,1,6,69,69,0.5555555555555556,0.4117647058823529,0.5228174603174602,45
1,11,uniform,minkowski,1,6,70,70,0.5333333333333333,0.43243243243243246,0.5009881422924901,45
1,11,uniform,minkowski,1,6,71,71,0.6,0.4,0.5652173913043479,45
1,11,uniform,minkowski,1,6,72,72,0.7777777777777778,0.7619047619047619,0.8428853754940712,45
1,11,uniform,minkowski,1,6,73,73,0.6666666666666666,0.5161290322580645,0.650197628458498,45
1,11,uniform,minkowski,1,6,74,74,0.6222222222222222,0.5853658536585366,0.5892857142857143,45
1,11,uniform,minkowski,1,6,75,75,0.6097560975609756,0.6,0.675,41
1,11,uniform,minkowski,1,6,76,76,0.5333333333333333,0.5531914893617021,0.5652173913043479,45
1,11,uniform,minkowski,1,6,77,77,0.6,0.6538461538461539,0.5476190476190477,45
1,11,uniform,minkowski,1,6,78,78,0.6,0.6666666666666666,0.615612648221344,45
1,11,uniform,minkowski,1,6,79,79,0.6,0.5789473684210527,0.65625,40
1,11,uniform,minkowski,1,6,80,80,0.5555555555555556,0.2857142857142857,0.5543478260869565,45
1,11,uniform,minkowski,1,6,81,81,0.5111111111111111,0.3125,0.5691699604743082,45
1,11,uniform,minkowski,1,6,82,82,0.6,0.6896551724137931,0.6531620553359683,45
1,11,uniform,minkowski,1,6,83,83,0.47368421052631576,0.16666666666666666,0.5664819944598337,38
1,11,uniform,minkowski,1,6,84,84,0.5909090909090909,0.5714285714285714,0.6635610766045549,44
1,11,uniform,minkowski,1,6,85,85,0.5909090909090909,0.6785714285714286,0.7753623188405798,44
1,11,uniform,minkowski,1,6,86,86,0.6136363636363636,0.6222222222222222,0.6614906832298137,44
1,11,uniform,minkowski,1,6,87,87,0.6222222222222222,0.6909090909090909,0.6324110671936759,45
1,11,uniform,minkowski,1,6,88,88,0.5818181818181818,0.4888888888888889,0.5396825396825398,55
1,11,uniform,minkowski,1,6,89,89,0.5333333333333333,0.6181818181818182,0.6378968253968254,45
1,11,uniform,minkowski,1,6,90,90,0.3333333333333333,0.25,0.3349802371541502,45
1,11,uniform,minkowski,1,6,91,91,0.5227272727272727,0.631578947368421,0.6590909090909091,44
1,11,uniform,minkowski,1,6,92,92,0.6071428571428571,0.5217391304347826,0.5371794871794873,56
1,11,uniform,minkowski,1,6,93,93,0.6222222222222222,0.6666666666666666,0.7539525691699606,45
1,11,uniform,minkowski,1,6,94,94,0.8863636363636364,0.9019607843137255,0.9585921325051759,44
1,11,uniform,minkowski,1,6,95,95,0.5714285714285714,0.6470588235294118,0.7239583333333333,28
1,11,uniform,minkowski,1,6,96,96,0.4523809523809524,0.5964912280701754,0.5226757369614513,42
1,11,uniform,minkowski,1,6,97,97,0.5,0.3888888888888889,0.4834710743801653,44
1,11,uniform,minkowski,1,6,98,98,0.5777777777777777,0.6885245901639344,0.6166007905138341,45
1,11,uniform,minkowski,1,6,99,99,0.4883720930232558,0.35294117647058826,0.5530303030303031,43
1,11,uniform,minkowski,1,6,100,100,0.5,0.55,0.4876543209876543,36
1,11,uniform,minkowski,1,6,101,101,0.4888888888888889,0.25806451612903225,0.5484189723320159,45
1,11,uniform,minkowski,1,6,102,102,0.6222222222222222,0.5853658536585366,0.7025691699604742,45
1,11,uniform,minkowski,1,6,103,103,0.6511627906976745,0.6153846153846154,0.7218614718614719,43
1,11,uniform,minkowski,1,6,104,104,0.4418604651162791,0.5,0.46861471861471854,43
1,11,uniform,minkowski,1,6,105,105,0.4888888888888889,0.43902439024390244,0.4318181818181818,45
1,11,uniform,minkowski,1,6,106,106,0.5333333333333333,0.43243243243243246,0.5446428571428571,45
1,11,uniform,minkowski,1,6,107,107,0.4888888888888889,0.5106382978723404,0.4761904761904761,45
1,11,uniform,minkowski,1,6,108,108,0.7111111111111111,0.6829268292682927,0.7371541501976284,45
