parameter_name,parameter_value,F1,D,F2,kernel_length,dropout_rate,learning_rate,batch_size,epochs,weight_decay,fold,subject,accuracy,f1_score,roc_auc,train_time_sec,inference_time_sec,inference_ms_per_sample,model_size_mb,num_parameters,train_memory_delta_mb,peak_gpu_memory_mb
D,1,8,1,8,64,0.25,0.001,32,20,0.0,85,85,0.8181818181818182,0.7647058823529411,0.9917184265010353,9.229488992998085,0.002317285005119629,0.05266556829817339,0.011692047119140625,1130,0.01953125,25.8095703125
D,1,8,1,8,64,0.25,0.001,32,20,0.0,86,86,0.5227272727272727,0.6865671641791045,0.6231884057971016,9.230456114004483,0.002253657003166154,0.051219477344685314,0.011692047119140625,1130,0.015625,25.810546875
D,1,8,1,8,64,0.25,0.001,32,20,0.0,87,87,0.5111111111111111,0.6764705882352942,0.46837944664031617,9.312003875995288,0.0024328010040335357,0.054062244534078575,0.011692047119140625,1130,0.015625,25.8115234375
D,1,8,1,8,64,0.25,0.001,32,20,0.0,88,88,0.4909090909090909,0.0,0.7116402116402116,9.180279961998167,0.0026553880015853792,0.04827978184700689,0.011692047119140625,1130,0.015625,25.8125
D,1,8,1,8,64,0.25,0.001,32,20,0.0,89,89,0.4666666666666667,0.6363636363636364,0.4444444444444444,9.367787546994805,0.002338236001378391,0.051960800030630916,0.011692047119140625,1130,0.01953125,25.8134765625
D,1,8,1,8,64,0.25,0.001,32,20,0.0,90,90,0.5111111111111111,0.6764705882352942,0.6679841897233202,9.27427306699974,0.00234577900118893,0.05212842224864289,0.011692047119140625,1130,0.0078125,25.814453125
D,1,8,1,8,64,0.25,0.001,32,20,0.0,91,91,0.5227272727272727,0.676923076923077,0.6528925619834711,9.285634313004266,0.002220901005784981,0.050475022858749566,0.011692047119140625,1130,0.015625,25.8154296875
D,1,8,1,8,64,0.25,0.001,32,20,0.0,92,92,0.5535714285714286,0.2857142857142857,0.744871794871795,9.345514558001014,0.0025903639980242588,0.04625649996471891,0.011692047119140625,1130,0.015625,25.81640625
D,1,8,1,8,64,0.25,0.001,32,20,0.0,93,93,0.6,0.7096774193548387,0.7905138339920948,9.419093866999901,0.0021953390023554675,0.04878531116345483,0.011692047119140625,1130,0.01171875,25.8173828125
D,1,8,1,8,64,0.25,0.001,32,20,0.0,94,94,0.8863636363636364,0.9019607843137255,0.9544513457556936,9.19249809699977,0.002313791002961807,0.05258615915822289,0.011692047119140625,1130,0.015625,25.818359375
